load_zone,fuel,period,fuel_cost
AZ_APS_E,Bio_Liquid,2050,0.010499999999999999
AZ_APS_E,Coal,2050,2.0594476765800005
AZ_APS_E,DistillateFuelOil,2050,28.372820719950006
AZ_APS_E,Gas,2050,6.3116225284350005
AZ_APS_E,ResidualFuelOil,2050,18.99737882805
AZ_APS_E,Uranium,2050,1.52849548362
AZ_APS_N,Bio_Liquid,2050,0.010499999999999999
AZ_APS_N,Coal,2050,2.0594476765800005
AZ_APS_N,DistillateFuelOil,2050,28.37282071995
AZ_APS_N,Gas,2050,6.3116225284350005
AZ_APS_N,ResidualFuelOil,2050,18.997378828050003
AZ_APS_N,Uranium,2050,1.52849548362
AZ_APS_SW,Bio_Liquid,2050,0.010499999999999999
AZ_APS_SW,Coal,2050,2.0594476765800005
AZ_APS_SW,DistillateFuelOil,2050,28.372820719950006
AZ_APS_SW,Gas,2050,6.3116225284350005
AZ_APS_SW,ResidualFuelOil,2050,18.99737882805
AZ_APS_SW,Uranium,2050,1.5284954836200002
AZ_NM_N,Bio_Liquid,2050,0.010499999999999999
AZ_NM_N,Coal,2050,2.0594476765800005
AZ_NM_N,DistillateFuelOil,2050,28.37282071995
AZ_NM_N,Gas,2050,6.3116225284350005
AZ_NM_N,ResidualFuelOil,2050,18.99737882805
AZ_NM_N,Uranium,2050,1.52849548362
AZ_NW,Bio_Liquid,2050,0.010499999999999999
AZ_NW,Coal,2050,2.05944767658
AZ_NW,DistillateFuelOil,2050,28.37282071995
AZ_NW,Gas,2050,6.3116225284350005
AZ_NW,ResidualFuelOil,2050,18.99737882805
AZ_NW,Uranium,2050,1.5284954836200002
AZ_PHX,Bio_Liquid,2050,0.010499999999999999
AZ_PHX,Coal,2050,2.05944767658
AZ_PHX,DistillateFuelOil,2050,28.372820719950006
AZ_PHX,Gas,2050,6.3116225284350005
AZ_PHX,ResidualFuelOil,2050,18.99737882805
AZ_PHX,Uranium,2050,1.52849548362
AZ_SE,Bio_Liquid,2050,0.010499999999999999
AZ_SE,Coal,2050,2.05944767658
AZ_SE,DistillateFuelOil,2050,28.372820719950006
AZ_SE,Gas,2050,6.3116225284350005
AZ_SE,ResidualFuelOil,2050,18.997378828050003
AZ_SE,Uranium,2050,1.52849548362
CA_IID,Bio_Liquid,2050,0.010499999999999999
CA_IID,Coal,2050,2.601272334255
CA_IID,DistillateFuelOil,2050,27.080522840700002
CA_IID,Gas,2050,6.324504119639999
CA_IID,ResidualFuelOil,2050,22.41197009205
CA_IID,Uranium,2050,1.52849548362
CA_LADWP,Bio_Liquid,2050,0.010499999999999999
CA_LADWP,Coal,2050,2.601272334255
CA_LADWP,DistillateFuelOil,2050,27.080522840700002
CA_LADWP,Gas,2050,6.32450411964
CA_LADWP,ResidualFuelOil,2050,22.41197009205
CA_LADWP,Uranium,2050,1.52849548362
CAN_ALB,Bio_Liquid,2050,0.010499999999999999
CAN_ALB,Coal,2050,2.601272334255
CAN_ALB,DistillateFuelOil,2050,27.080522840699995
CAN_ALB,Gas,2050,6.324504119639999
CAN_ALB,ResidualFuelOil,2050,22.411970092050005
CAN_ALB,Uranium,2050,1.52849548362
CAN_BC,Bio_Liquid,2050,0.010499999999999999
CAN_BC,Coal,2050,2.601272334255
CAN_BC,DistillateFuelOil,2050,27.080522840700002
CAN_BC,Gas,2050,6.324504119639999
CAN_BC,ResidualFuelOil,2050,22.41197009205
CAN_BC,Uranium,2050,1.52849548362
CA_PGE_BAY,Bio_Liquid,2050,0.010499999999999999
CA_PGE_BAY,Coal,2050,2.601272334255
CA_PGE_BAY,DistillateFuelOil,2050,27.080522840700002
CA_PGE_BAY,Gas,2050,6.324504119640001
CA_PGE_BAY,ResidualFuelOil,2050,22.41197009205
CA_PGE_BAY,Uranium,2050,1.52849548362
CA_PGE_CEN,Bio_Liquid,2050,0.010499999999999999
CA_PGE_CEN,Coal,2050,2.601272334255
CA_PGE_CEN,DistillateFuelOil,2050,27.080522840700002
CA_PGE_CEN,Gas,2050,6.324504119640001
CA_PGE_CEN,ResidualFuelOil,2050,22.41197009205
CA_PGE_CEN,Uranium,2050,1.52849548362
CA_PGE_N,Bio_Liquid,2050,0.010499999999999999
CA_PGE_N,Coal,2050,2.601272334255
CA_PGE_N,DistillateFuelOil,2050,27.080522840700002
CA_PGE_N,Gas,2050,6.324504119639999
CA_PGE_N,ResidualFuelOil,2050,22.41197009205
CA_PGE_N,Uranium,2050,1.52849548362
CA_PGE_S,Bio_Liquid,2050,0.010499999999999999
CA_PGE_S,Coal,2050,2.601272334255
CA_PGE_S,DistillateFuelOil,2050,27.080522840700002
CA_PGE_S,Gas,2050,6.324504119640001
CA_PGE_S,ResidualFuelOil,2050,22.41197009205
CA_PGE_S,Uranium,2050,1.52849548362
CA_SCE_CEN,Bio_Liquid,2050,0.010499999999999999
CA_SCE_CEN,Coal,2050,2.601272334255
CA_SCE_CEN,DistillateFuelOil,2050,27.080522840699995
CA_SCE_CEN,Gas,2050,6.324504119640001
CA_SCE_CEN,ResidualFuelOil,2050,22.41197009205
CA_SCE_CEN,Uranium,2050,1.52849548362
CA_SCE_S,Bio_Liquid,2050,0.010499999999999999
CA_SCE_S,Coal,2050,2.601272334255
CA_SCE_S,DistillateFuelOil,2050,27.080522840700002
CA_SCE_S,Gas,2050,6.324504119639999
CA_SCE_S,ResidualFuelOil,2050,22.41197009205
CA_SCE_S,Uranium,2050,1.52849548362
CA_SCE_SE,Bio_Liquid,2050,0.010499999999999999
CA_SCE_SE,Coal,2050,2.601272334255
CA_SCE_SE,DistillateFuelOil,2050,27.080522840700002
CA_SCE_SE,Gas,2050,6.32450411964
CA_SCE_SE,ResidualFuelOil,2050,22.41197009205
CA_SCE_SE,Uranium,2050,1.52849548362
CA_SCE_VLY,Bio_Liquid,2050,0.010499999999999999
CA_SCE_VLY,Coal,2050,2.601272334255
CA_SCE_VLY,DistillateFuelOil,2050,27.080522840700002
CA_SCE_VLY,Gas,2050,6.32450411964
CA_SCE_VLY,ResidualFuelOil,2050,22.41197009205
CA_SCE_VLY,Uranium,2050,1.5284954836200002
CA_SDGE,Bio_Liquid,2050,0.010499999999999999
CA_SDGE,Coal,2050,2.601272334255
CA_SDGE,DistillateFuelOil,2050,27.080522840700002
CA_SDGE,Gas,2050,6.32450411964
CA_SDGE,ResidualFuelOil,2050,22.41197009205
CA_SDGE,Uranium,2050,1.52849548362
CA_SMUD,Bio_Liquid,2050,0.010499999999999999
CA_SMUD,Coal,2050,2.601272334255
CA_SMUD,DistillateFuelOil,2050,27.080522840700002
CA_SMUD,Gas,2050,6.32450411964
CA_SMUD,ResidualFuelOil,2050,22.41197009205
CA_SMUD,Uranium,2050,1.52849548362
CO_DEN,Bio_Liquid,2050,0.010499999999999999
CO_DEN,Coal,2050,2.0594476765800005
CO_DEN,DistillateFuelOil,2050,28.372820719950006
CO_DEN,Gas,2050,6.3116225284350005
CO_DEN,ResidualFuelOil,2050,18.99737882805
CO_DEN,Uranium,2050,1.52849548362
CO_E,Bio_Liquid,2050,0.010499999999999999
CO_E,Coal,2050,2.05944767658
CO_E,DistillateFuelOil,2050,28.37282071995
CO_E,Gas,2050,6.3116225284350005
CO_E,ResidualFuelOil,2050,18.99737882805
CO_E,Uranium,2050,1.52849548362
CO_NW,Bio_Liquid,2050,0.010499999999999999
CO_NW,Coal,2050,2.0594476765800005
CO_NW,DistillateFuelOil,2050,28.372820719950006
CO_NW,Gas,2050,6.3116225284350005
CO_NW,ResidualFuelOil,2050,18.99737882805
CO_NW,Uranium,2050,1.52849548362
CO_SW,Bio_Liquid,2050,0.010499999999999999
CO_SW,Coal,2050,2.0594476765800005
CO_SW,DistillateFuelOil,2050,28.37282071995
CO_SW,Gas,2050,6.3116225284350005
CO_SW,ResidualFuelOil,2050,18.997378828050003
CO_SW,Uranium,2050,1.52849548362
ID_E,Bio_Liquid,2050,0.010499999999999999
ID_E,Coal,2050,2.0594476765800005
ID_E,DistillateFuelOil,2050,28.37282071995
ID_E,Gas,2050,6.3116225284350005
ID_E,ResidualFuelOil,2050,18.99737882805
ID_E,Uranium,2050,1.52849548362
ID_S_OR_E,Bio_Liquid,2050,0.010499999999999999
ID_S_OR_E,Coal,2050,2.0594476765800005
ID_S_OR_E,DistillateFuelOil,2050,28.37282071995
ID_S_OR_E,Gas,2050,6.3116225284350005
ID_S_OR_E,ResidualFuelOil,2050,18.99737882805
ID_S_OR_E,Uranium,2050,1.52849548362
MEX_BAJA,Bio_Liquid,2050,0.010499999999999999
MEX_BAJA,Coal,2050,2.601272334255
MEX_BAJA,DistillateFuelOil,2050,27.080522840699995
MEX_BAJA,Gas,2050,6.32450411964
MEX_BAJA,ResidualFuelOil,2050,22.41197009205
MEX_BAJA,Uranium,2050,1.52849548362
MT_NE,Bio_Liquid,2050,0.010499999999999999
MT_NE,Coal,2050,2.0594476765800005
MT_NE,DistillateFuelOil,2050,28.37282071995
MT_NE,Gas,2050,6.3116225284350005
MT_NE,ResidualFuelOil,2050,18.99737882805
MT_NE,Uranium,2050,1.52849548362
MT_NW,Bio_Liquid,2050,0.010499999999999999
MT_NW,Coal,2050,2.0594476765800005
MT_NW,DistillateFuelOil,2050,28.37282071995
MT_NW,Gas,2050,6.3116225284350005
MT_NW,ResidualFuelOil,2050,18.99737882805
MT_NW,Uranium,2050,1.52849548362
MT_SE,Bio_Liquid,2050,0.010499999999999999
MT_SE,Coal,2050,2.05944767658
MT_SE,DistillateFuelOil,2050,28.37282071995
MT_SE,Gas,2050,6.3116225284350005
MT_SE,ResidualFuelOil,2050,18.99737882805
MT_SE,Uranium,2050,1.5284954836200002
MT_SW,Bio_Liquid,2050,0.010499999999999999
MT_SW,Coal,2050,2.05944767658
MT_SW,DistillateFuelOil,2050,28.37282071995
MT_SW,Gas,2050,6.3116225284350005
MT_SW,ResidualFuelOil,2050,18.99737882805
MT_SW,Uranium,2050,1.5284954836199998
NM_N,Bio_Liquid,2050,0.010499999999999999
NM_N,Coal,2050,2.0594476765800005
NM_N,DistillateFuelOil,2050,28.37282071995
NM_N,Gas,2050,6.3116225284350005
NM_N,ResidualFuelOil,2050,18.997378828050003
NM_N,Uranium,2050,1.52849548362
NM_S_TX_EPE,Bio_Liquid,2050,0.010499999999999999
NM_S_TX_EPE,Coal,2050,2.59599830763
NM_S_TX_EPE,DistillateFuelOil,2050,24.65839085745
NM_S_TX_EPE,Gas,2050,6.305736986535001
NM_S_TX_EPE,ResidualFuelOil,2050,13.035780803849999
NM_S_TX_EPE,Uranium,2050,1.52849548362
NV_N,Bio_Liquid,2050,0.010499999999999999
NV_N,Coal,2050,2.05944767658
NV_N,DistillateFuelOil,2050,28.372820719950006
NV_N,Gas,2050,6.3116225284350005
NV_N,ResidualFuelOil,2050,18.99737882805
NV_N,Uranium,2050,1.52849548362
NV_S,Bio_Liquid,2050,0.010499999999999999
NV_S,Coal,2050,2.05944767658
NV_S,DistillateFuelOil,2050,28.37282071995
NV_S,Gas,2050,6.3116225284350005
NV_S,ResidualFuelOil,2050,18.99737882805
NV_S,Uranium,2050,1.52849548362
OR_E,Bio_Liquid,2050,0.010499999999999999
OR_E,Coal,2050,2.601272334255
OR_E,DistillateFuelOil,2050,27.080522840699995
OR_E,Gas,2050,6.32450411964
OR_E,ResidualFuelOil,2050,22.41197009205
OR_E,Uranium,2050,1.52849548362
OR_PDX,Bio_Liquid,2050,0.010499999999999999
OR_PDX,Coal,2050,2.601272334255
OR_PDX,DistillateFuelOil,2050,27.080522840700002
OR_PDX,Gas,2050,6.32450411964
OR_PDX,ResidualFuelOil,2050,22.41197009205
OR_PDX,Uranium,2050,1.52849548362
OR_W,Bio_Liquid,2050,0.010499999999999999
OR_W,Coal,2050,2.601272334255
OR_W,DistillateFuelOil,2050,27.080522840700002
OR_W,Gas,2050,6.32450411964
OR_W,ResidualFuelOil,2050,22.41197009205
OR_W,Uranium,2050,1.52849548362
OR_WA_BPA,Bio_Liquid,2050,0.010499999999999999
OR_WA_BPA,Coal,2050,2.601272334255
OR_WA_BPA,DistillateFuelOil,2050,27.080522840700002
OR_WA_BPA,Gas,2050,6.32450411964
OR_WA_BPA,ResidualFuelOil,2050,22.41197009205
OR_WA_BPA,Uranium,2050,1.52849548362
UT_N,Bio_Liquid,2050,0.010499999999999999
UT_N,Coal,2050,2.0594476765800005
UT_N,DistillateFuelOil,2050,28.372820719950006
UT_N,Gas,2050,6.3116225284350005
UT_N,ResidualFuelOil,2050,18.997378828050003
UT_N,Uranium,2050,1.52849548362
UT_S,Bio_Liquid,2050,0.010499999999999999
UT_S,Coal,2050,2.05944767658
UT_S,DistillateFuelOil,2050,28.37282071995
UT_S,Gas,2050,6.3116225284350005
UT_S,ResidualFuelOil,2050,18.99737882805
UT_S,Uranium,2050,1.52849548362
WA_ID_AVA,Bio_Liquid,2050,0.010499999999999999
WA_ID_AVA,Coal,2050,2.601272334255
WA_ID_AVA,DistillateFuelOil,2050,27.080522840700002
WA_ID_AVA,Gas,2050,6.324504119640001
WA_ID_AVA,ResidualFuelOil,2050,22.41197009205
WA_ID_AVA,Uranium,2050,1.52849548362
WA_N_CEN,Bio_Liquid,2050,0.010499999999999999
WA_N_CEN,Coal,2050,2.601272334255
WA_N_CEN,DistillateFuelOil,2050,27.080522840700002
WA_N_CEN,Gas,2050,6.324504119639999
WA_N_CEN,ResidualFuelOil,2050,22.411970092050005
WA_N_CEN,Uranium,2050,1.52849548362
WA_SEATAC,Bio_Liquid,2050,0.010499999999999999
WA_SEATAC,Coal,2050,2.601272334255
WA_SEATAC,DistillateFuelOil,2050,27.080522840700002
WA_SEATAC,Gas,2050,6.32450411964
WA_SEATAC,ResidualFuelOil,2050,22.41197009205
WA_SEATAC,Uranium,2050,1.52849548362
WA_W,Bio_Liquid,2050,0.010499999999999999
WA_W,Coal,2050,2.601272334255
WA_W,DistillateFuelOil,2050,27.080522840699995
WA_W,Gas,2050,6.32450411964
WA_W,ResidualFuelOil,2050,22.41197009205
WA_W,Uranium,2050,1.52849548362
WY_NE,Bio_Liquid,2050,0.010499999999999999
WY_NE,Coal,2050,2.41374415044
WY_NE,DistillateFuelOil,2050,25.0962304404
WY_NE,Gas,2050,7.3552717065449995
WY_NE,ResidualFuelOil,2050,18.52105109085
WY_NE,Uranium,2050,1.52849548362
WY_NW,Bio_Liquid,2050,0.010499999999999999
WY_NW,Coal,2050,2.0594476765800005
WY_NW,DistillateFuelOil,2050,28.372820719950006
WY_NW,Gas,2050,6.3116225284350005
WY_NW,ResidualFuelOil,2050,18.997378828050003
WY_NW,Uranium,2050,1.52849548362
WY_SE,Bio_Liquid,2050,0.010499999999999999
WY_SE,Coal,2050,2.0594476765800005
WY_SE,DistillateFuelOil,2050,28.37282071995
WY_SE,Gas,2050,6.3116225284350005
WY_SE,ResidualFuelOil,2050,18.99737882805
WY_SE,Uranium,2050,1.52849548362
WY_SW,Bio_Liquid,2050,0.010499999999999999
WY_SW,Coal,2050,2.05944767658
WY_SW,DistillateFuelOil,2050,28.37282071995
WY_SW,Gas,2050,6.3116225284350005
WY_SW,ResidualFuelOil,2050,18.99737882805
WY_SW,Uranium,2050,1.52849548362
