RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
ID_S_OR_E_ResidualFuelOil,2050,0,0
ID_S_OR_E_Uranium,2050,0,0
MEX_BAJA-Bio_Gas,2050,1,1.8584e+06
MEX_BAJA-Bio_Solid,2050,1,0
MEX_BAJA-Bio_Solid,2050,2,0
MEX_BAJA_Bio_Liquid,2050,0,0
MEX_BAJA_Coal,2050,0,0
MEX_BAJA_DistillateFuelOil,2050,0,0
MEX_BAJA_Gas,2050,0,0
MEX_BAJA_ResidualFuelOil,2050,0,0
MEX_BAJA_Uranium,2050,0,0
MT_NE-Bio_Gas,2050,1,6.4024e+05
MT_NE-Bio_Solid,2050,1,0
MT_NE-Bio_Solid,2050,2,0
MT_NE-Bio_Solid,2050,3,0
MT_NE-Bio_Solid,2050,4,0
MT_NE-Bio_Solid,2050,5,0
MT_NE-Bio_Solid,2050,6,0
MT_NE-Bio_Solid,2050,7,0
MT_NE-Bio_Solid,2050,8,0
MT_NE-Bio_Solid,2050,9,0
MT_NE-Bio_Solid,2050,10,0
MT_NE-Bio_Solid,2050,11,0
MT_NE-Bio_Solid,2050,12,0
MT_NE-Bio_Solid,2050,13,0
MT_NE-Bio_Solid,2050,14,0
MT_NE_Bio_Liquid,2050,0,0
MT_NE_Coal,2050,0,0
MT_NE_DistillateFuelOil,2050,0,0
MT_NE_Gas,2050,0,0
MT_NE_ResidualFuelOil,2050,0,0
MT_NE_Uranium,2050,0,0
MT_NW-Bio_Gas,2050,1,5.0803e+05
MT_NW-Bio_Solid,2050,1,1.3682e+05
MT_NW-Bio_Solid,2050,2,1.4364e-05
MT_NW-Bio_Solid,2050,3,0
MT_NW-Bio_Solid,2050,4,0
MT_NW-Bio_Solid,2050,5,0
MT_NW-Bio_Solid,2050,6,0
MT_NW-Bio_Solid,2050,7,0
MT_NW-Bio_Solid,2050,8,0
MT_NW_Bio_Liquid,2050,0,0
MT_NW_Coal,2050,0,0
MT_NW_DistillateFuelOil,2050,0,0
MT_NW_Gas,2050,0,0
MT_NW_ResidualFuelOil,2050,0,0
MT_NW_Uranium,2050,0,0
MT_SE-Bio_Gas,2050,1,34534
MT_SE-Bio_Solid,2050,1,0
MT_SE-Bio_Solid,2050,2,0
MT_SE-Bio_Solid,2050,3,0
MT_SE-Bio_Solid,2050,4,0
MT_SE-Bio_Solid,2050,5,0
MT_SE-Bio_Solid,2050,6,0
MT_SE-Bio_Solid,2050,7,0
MT_SE-Bio_Solid,2050,8,0
MT_SE-Bio_Solid,2050,9,0
MT_SE-Bio_Solid,2050,10,0
MT_SE_Bio_Liquid,2050,0,0
MT_SE_Coal,2050,0,0
MT_SE_DistillateFuelOil,2050,0,0
MT_SE_Gas,2050,0,0
MT_SE_ResidualFuelOil,2050,0,0
MT_SE_Uranium,2050,0,0
MT_SW-Bio_Gas,2050,1,1.3161e+05
MT_SW-Bio_Solid,2050,1,0
MT_SW-Bio_Solid,2050,2,0
MT_SW-Bio_Solid,2050,3,0
MT_SW-Bio_Solid,2050,4,0
MT_SW-Bio_Solid,2050,5,0
MT_SW-Bio_Solid,2050,6,0
MT_SW-Bio_Solid,2050,7,0
MT_SW_Bio_Liquid,2050,0,0
MT_SW_Coal,2050,0,0
MT_SW_DistillateFuelOil,2050,0,0
MT_SW_Gas,2050,0,0
MT_SW_ResidualFuelOil,2050,0,0
MT_SW_Uranium,2050,0,0
NM_N-Bio_Gas,2050,1,1.9519e+06
NM_N-Bio_Solid,2050,1,0
NM_N-Bio_Solid,2050,2,0
NM_N-Bio_Solid,2050,3,0
NM_N-Bio_Solid,2050,4,0
NM_N-Bio_Solid,2050,5,0
NM_N-Bio_Solid,2050,6,0
NM_N-Bio_Solid,2050,7,0
NM_N-Bio_Solid,2050,8,0
NM_N-Bio_Solid,2050,9,0
NM_N-Bio_Solid,2050,10,0
NM_N-Bio_Solid,2050,11,0
NM_N-Bio_Solid,2050,12,0
NM_N_Bio_Liquid,2050,0,0
NM_N_Coal,2050,0,0
NM_N_DistillateFuelOil,2050,0,0
NM_N_Gas,2050,0,0
NM_N_ResidualFuelOil,2050,0,0
NM_N_Uranium,2050,0,0
NM_S_TX_EPE-Bio_Gas,2050,1,1.9591e+06
NM_S_TX_EPE-Bio_Solid,2050,1,0
NM_S_TX_EPE-Bio_Solid,2050,2,0
NM_S_TX_EPE-Bio_Solid,2050,3,0
NM_S_TX_EPE-Bio_Solid,2050,4,0
NM_S_TX_EPE-Bio_Solid,2050,5,0
NM_S_TX_EPE-Bio_Solid,2050,6,0
NM_S_TX_EPE-Bio_Solid,2050,7,0
NM_S_TX_EPE-Bio_Solid,2050,8,0
NM_S_TX_EPE_Bio_Liquid,2050,0,0
NM_S_TX_EPE_Coal,2050,0,0
NM_S_TX_EPE_DistillateFuelOil,2050,0,0
NM_S_TX_EPE_Gas,2050,0,0
NM_S_TX_EPE_ResidualFuelOil,2050,0,0
NM_S_TX_EPE_Uranium,2050,0,0
NV_N-Bio_Gas,2050,1,1.4637e+06
NV_N-Bio_Solid,2050,1,0
NV_N-Bio_Solid,2050,2,0
NV_N-Bio_Solid,2050,3,0
NV_N-Bio_Solid,2050,4,0
NV_N-Bio_Solid,2050,5,0
NV_N-Bio_Solid,2050,6,0
NV_N-Bio_Solid,2050,7,0
NV_N-Bio_Solid,2050,8,0
NV_N-Bio_Solid,2050,9,0
NV_N-Bio_Solid,2050,10,0
NV_N-Bio_Solid,2050,11,0
NV_N-Bio_Solid,2050,12,0
NV_N_Bio_Liquid,2050,0,0
NV_N_Coal,2050,0,0
NV_N_DistillateFuelOil,2050,0,0
NV_N_Gas,2050,0,0
NV_N_ResidualFuelOil,2050,0,0
NV_N_Uranium,2050,0,0
NV_S-Bio_Gas,2050,1,2.6629e+06
NV_S-Bio_Solid,2050,1,0
NV_S-Bio_Solid,2050,2,0
NV_S-Bio_Solid,2050,3,0
NV_S-Bio_Solid,2050,4,0
NV_S-Bio_Solid,2050,5,0
NV_S-Bio_Solid,2050,6,0
NV_S-Bio_Solid,2050,7,0
NV_S-Bio_Solid,2050,8,0
NV_S-Bio_Solid,2050,9,0
NV_S_Bio_Liquid,2050,0,0
NV_S_Coal,2050,0,0
NV_S_DistillateFuelOil,2050,0,0
NV_S_Gas,2050,0,0
NV_S_ResidualFuelOil,2050,0,0
NV_S_Uranium,2050,0,0
OR_E-Bio_Gas,2050,1,3.4132e+05
OR_E-Bio_Solid,2050,1,1.1124e-05
OR_E-Bio_Solid,2050,2,0
OR_E-Bio_Solid,2050,3,0
OR_E-Bio_Solid,2050,4,0
OR_E-Bio_Solid,2050,5,0
OR_E-Bio_Solid,2050,6,0
OR_E-Bio_Solid,2050,7,0
OR_E-Bio_Solid,2050,8,0
OR_E-Bio_Solid,2050,9,0
OR_E_Bio_Liquid,2050,0,0
OR_E_Coal,2050,0,0
OR_E_DistillateFuelOil,2050,0,0
OR_E_Gas,2050,0,0
OR_E_ResidualFuelOil,2050,0,0
OR_E_Uranium,2050,0,0
OR_PDX-Bio_Gas,2050,1,1.7767e+06
OR_PDX-Bio_Solid,2050,1,0
OR_PDX-Bio_Solid,2050,2,0
OR_PDX-Bio_Solid,2050,3,0
OR_PDX-Bio_Solid,2050,4,0
OR_PDX-Bio_Solid,2050,5,0
OR_PDX-Bio_Solid,2050,6,0
OR_PDX-Bio_Solid,2050,7,0
OR_PDX-Bio_Solid,2050,8,0
OR_PDX-Bio_Solid,2050,9,0
OR_PDX-Bio_Solid,2050,10,0
OR_PDX-Bio_Solid,2050,11,0
OR_PDX-Bio_Solid,2050,12,0
OR_PDX_Bio_Liquid,2050,0,0
OR_PDX_Coal,2050,0,0
OR_PDX_DistillateFuelOil,2050,0,0
OR_PDX_Gas,2050,0,0
OR_PDX_ResidualFuelOil,2050,0,0
OR_PDX_Uranium,2050,0,0
OR_W-Bio_Gas,2050,1,2.9035e+06
OR_W-Bio_Solid,2050,1,0.00021688
OR_W-Bio_Solid,2050,2,4.9412e-05
OR_W-Bio_Solid,2050,3,0
OR_W-Bio_Solid,2050,4,0
OR_W-Bio_Solid,2050,5,0
OR_W-Bio_Solid,2050,6,0
OR_W-Bio_Solid,2050,7,0
OR_W-Bio_Solid,2050,8,0
OR_W-Bio_Solid,2050,9,0
OR_W-Bio_Solid,2050,10,0
OR_W-Bio_Solid,2050,11,0
OR_W-Bio_Solid,2050,12,0
OR_W-Bio_Solid,2050,13,0
OR_W-Bio_Solid,2050,14,0
OR_W-Bio_Solid,2050,15,0
OR_W-Bio_Solid,2050,16,0
OR_W-Bio_Solid,2050,17,0
OR_W-Bio_Solid,2050,18,0
OR_W-Bio_Solid,2050,19,0
OR_W-Bio_Solid,2050,20,0
OR_WA_BPA-Bio_Gas,2050,1,5.8708e+06
OR_WA_BPA-Bio_Solid,2050,1,0
OR_WA_BPA-Bio_Solid,2050,2,0
OR_WA_BPA-Bio_Solid,2050,3,0
OR_WA_BPA-Bio_Solid,2050,4,0
OR_WA_BPA-Bio_Solid,2050,5,0
OR_WA_BPA-Bio_Solid,2050,6,0
OR_WA_BPA-Bio_Solid,2050,7,0
OR_WA_BPA-Bio_Solid,2050,8,0
OR_WA_BPA-Bio_Solid,2050,9,0
OR_WA_BPA-Bio_Solid,2050,10,0
OR_WA_BPA-Bio_Solid,2050,11,0
OR_WA_BPA-Bio_Solid,2050,12,0
OR_WA_BPA-Bio_Solid,2050,13,0
OR_WA_BPA-Bio_Solid,2050,14,0
OR_WA_BPA_Bio_Liquid,2050,0,0
OR_WA_BPA_Coal,2050,0,0
OR_WA_BPA_DistillateFuelOil,2050,0,0
OR_WA_BPA_Gas,2050,0,0
OR_WA_BPA_ResidualFuelOil,2050,0,0
OR_WA_BPA_Uranium,2050,0,1.1474e+08
OR_W_Bio_Liquid,2050,0,1.3969e-05
OR_W_Coal,2050,0,0
OR_W_DistillateFuelOil,2050,0,0
OR_W_Gas,2050,0,0
OR_W_ResidualFuelOil,2050,0,0
OR_W_Uranium,2050,0,0
UT_N-Bio_Gas,2050,1,3.5907e+06
UT_N-Bio_Solid,2050,1,0
UT_N-Bio_Solid,2050,2,0
UT_N-Bio_Solid,2050,3,0
UT_N-Bio_Solid,2050,4,0
UT_N-Bio_Solid,2050,5,0
UT_N-Bio_Solid,2050,6,0
UT_N-Bio_Solid,2050,7,0
UT_N_Bio_Liquid,2050,0,0
UT_N_Coal,2050,0,0
UT_N_DistillateFuelOil,2050,0,0
UT_N_Gas,2050,0,0
UT_N_ResidualFuelOil,2050,0,0
UT_N_Uranium,2050,0,0
UT_S-Bio_Gas,2050,1,1.0014e+06
UT_S-Bio_Solid,2050,1,0
UT_S-Bio_Solid,2050,2,0
UT_S-Bio_Solid,2050,3,0
UT_S-Bio_Solid,2050,4,0
UT_S-Bio_Solid,2050,5,0
UT_S-Bio_Solid,2050,6,0
UT_S-Bio_Solid,2050,7,0
UT_S-Bio_Solid,2050,8,0
UT_S-Bio_Solid,2050,9,0
UT_S-Bio_Solid,2050,10,0
UT_S-Bio_Solid,2050,11,0
UT_S-Bio_Solid,2050,12,0
UT_S-Bio_Solid,2050,13,0
UT_S-Bio_Solid,2050,14,0
UT_S_Bio_Liquid,2050,0,0
UT_S_Coal,2050,0,0
UT_S_DistillateFuelOil,2050,0,0
UT_S_Gas,2050,0,0
UT_S_ResidualFuelOil,2050,0,0
UT_S_Uranium,2050,0,0
WA_ID_AVA-Bio_Gas,2050,1,8.7386e+05
WA_ID_AVA-Bio_Solid,2050,1,1.8e-05
WA_ID_AVA-Bio_Solid,2050,2,1.1542e-05
WA_ID_AVA-Bio_Solid,2050,3,0
WA_ID_AVA-Bio_Solid,2050,4,0
WA_ID_AVA-Bio_Solid,2050,5,0
WA_ID_AVA-Bio_Solid,2050,6,0
WA_ID_AVA-Bio_Solid,2050,7,0
WA_ID_AVA-Bio_Solid,2050,8,0
WA_ID_AVA-Bio_Solid,2050,9,0
WA_ID_AVA-Bio_Solid,2050,10,0
WA_ID_AVA-Bio_Solid,2050,11,0
WA_ID_AVA-Bio_Solid,2050,12,0
WA_ID_AVA-Bio_Solid,2050,13,0
WA_ID_AVA-Bio_Solid,2050,14,0
WA_ID_AVA-Bio_Solid,2050,15,0
WA_ID_AVA-Bio_Solid,2050,16,0
WA_ID_AVA-Bio_Solid,2050,17,0
WA_ID_AVA-Bio_Solid,2050,18,0
WA_ID_AVA-Bio_Solid,2050,19,0
WA_ID_AVA-Bio_Solid,2050,20,0
WA_ID_AVA-Bio_Solid,2050,21,0
WA_ID_AVA-Bio_Solid,2050,22,0
WA_ID_AVA-Bio_Solid,2050,23,0
WA_ID_AVA-Bio_Solid,2050,24,0
WA_ID_AVA_Bio_Liquid,2050,0,0.004635
WA_ID_AVA_Coal,2050,0,0
WA_ID_AVA_DistillateFuelOil,2050,0,0
WA_ID_AVA_Gas,2050,0,0
WA_ID_AVA_ResidualFuelOil,2050,0,0
WA_ID_AVA_Uranium,2050,0,0
WA_N_CEN-Bio_Gas,2050,1,6.0041e+05
WA_N_CEN-Bio_Solid,2050,1,0
WA_N_CEN-Bio_Solid,2050,2,0
WA_N_CEN-Bio_Solid,2050,3,0
WA_N_CEN-Bio_Solid,2050,4,0
WA_N_CEN-Bio_Solid,2050,5,0
WA_N_CEN-Bio_Solid,2050,6,0
WA_N_CEN-Bio_Solid,2050,7,0
WA_N_CEN_Bio_Liquid,2050,0,0
WA_N_CEN_Coal,2050,0,0
WA_N_CEN_DistillateFuelOil,2050,0,0
WA_N_CEN_Gas,2050,0,0
WA_N_CEN_ResidualFuelOil,2050,0,0
WA_N_CEN_Uranium,2050,0,0
WA_SEATAC-Bio_Gas,2050,1,1.4736e+06
WA_SEATAC-Bio_Solid,2050,1,0
WA_SEATAC-Bio_Solid,2050,2,0
WA_SEATAC-Bio_Solid,2050,3,0
WA_SEATAC-Bio_Solid,2050,4,0
WA_SEATAC-Bio_Solid,2050,5,0
WA_SEATAC-Bio_Solid,2050,6,0
WA_SEATAC-Bio_Solid,2050,7,0
WA_SEATAC-Bio_Solid,2050,8,0
WA_SEATAC-Bio_Solid,2050,9,0
WA_SEATAC_Bio_Liquid,2050,0,0
WA_SEATAC_Coal,2050,0,0
WA_SEATAC_DistillateFuelOil,2050,0,0
WA_SEATAC_Gas,2050,0,0
WA_SEATAC_ResidualFuelOil,2050,0,0
WA_SEATAC_Uranium,2050,0,0
WA_W-Bio_Gas,2050,1,8.6328e+06
WA_W-Bio_Solid,2050,1,2.2527e+06
WA_W-Bio_Solid,2050,2,3.3719e-05
WA_W-Bio_Solid,2050,3,1.1455e-05
WA_W-Bio_Solid,2050,4,0
WA_W-Bio_Solid,2050,5,0
WA_W-Bio_Solid,2050,6,0
WA_W-Bio_Solid,2050,7,0
WA_W-Bio_Solid,2050,8,0
WA_W-Bio_Solid,2050,9,0
WA_W-Bio_Solid,2050,10,0
WA_W-Bio_Solid,2050,11,0
WA_W-Bio_Solid,2050,12,0
WA_W-Bio_Solid,2050,13,0
WA_W-Bio_Solid,2050,14,0
WA_W-Bio_Solid,2050,15,0
WA_W-Bio_Solid,2050,16,0
WA_W-Bio_Solid,2050,17,0
WA_W-Bio_Solid,2050,18,0
WA_W-Bio_Solid,2050,19,0
WA_W-Bio_Solid,2050,20,0
WA_W-Bio_Solid,2050,21,0
WA_W_Bio_Liquid,2050,0,8.3927e-05
WA_W_Coal,2050,0,0
WA_W_DistillateFuelOil,2050,0,0
WA_W_Gas,2050,0,0
WA_W_ResidualFuelOil,2050,0,0
WA_W_Uranium,2050,0,0
WY_NE-Bio_Gas,2050,1,39043
WY_NE-Bio_Solid,2050,1,0
WY_NE-Bio_Solid,2050,2,0
WY_NE-Bio_Solid,2050,3,0
WY_NE-Bio_Solid,2050,4,0
WY_NE-Bio_Solid,2050,5,0
WY_NE-Bio_Solid,2050,6,0
WY_NE-Bio_Solid,2050,7,0
WY_NE-Bio_Solid,2050,8,0
WY_NE-Bio_Solid,2050,9,0
WY_NE-Bio_Solid,2050,10,0
WY_NE_Bio_Liquid,2050,0,0
WY_NE_Coal,2050,0,0
WY_NE_DistillateFuelOil,2050,0,0
WY_NE_Gas,2050,0,0
WY_NE_ResidualFuelOil,2050,0,0
WY_NE_Uranium,2050,0,0
WY_NW-Bio_Gas,2050,1,19123
WY_NW-Bio_Solid,2050,1,0
WY_NW-Bio_Solid,2050,2,0
WY_NW-Bio_Solid,2050,3,0
WY_NW-Bio_Solid,2050,4,0
WY_NW-Bio_Solid,2050,5,0
WY_NW-Bio_Solid,2050,6,0
WY_NW_Bio_Liquid,2050,0,0
WY_NW_Coal,2050,0,0
WY_NW_DistillateFuelOil,2050,0,0
WY_NW_Gas,2050,0,0
WY_NW_ResidualFuelOil,2050,0,0
WY_NW_Uranium,2050,0,0
WY_SE-Bio_Gas,2050,1,5.3362e+05
WY_SE-Bio_Solid,2050,1,0
WY_SE-Bio_Solid,2050,2,0
WY_SE-Bio_Solid,2050,3,0
WY_SE-Bio_Solid,2050,4,0
WY_SE-Bio_Solid,2050,5,0
WY_SE-Bio_Solid,2050,6,0
WY_SE-Bio_Solid,2050,7,0
WY_SE-Bio_Solid,2050,8,0
WY_SE-Bio_Solid,2050,9,0
WY_SE-Bio_Solid,2050,10,0
WY_SE-Bio_Solid,2050,11,0
WY_SE-Bio_Solid,2050,12,0
WY_SE-Bio_Solid,2050,13,0
WY_SE-Bio_Solid,2050,14,0
WY_SE-Bio_Solid,2050,15,0
WY_SE-Bio_Solid,2050,16,0
WY_SE-Bio_Solid,2050,17,0
WY_SE-Bio_Solid,2050,18,0
WY_SE_Bio_Liquid,2050,0,0
WY_SE_Coal,2050,0,0
WY_SE_DistillateFuelOil,2050,0,0
WY_SE_Gas,2050,0,0
WY_SE_ResidualFuelOil,2050,0,0
WY_SE_Uranium,2050,0,0
WY_SW-Bio_Gas,2050,1,14611
WY_SW-Bio_Solid,2050,1,0
WY_SW-Bio_Solid,2050,2,0
WY_SW-Bio_Solid,2050,3,0
WY_SW-Bio_Solid,2050,4,0
WY_SW-Bio_Solid,2050,5,0
WY_SW-Bio_Solid,2050,6,0
WY_SW-Bio_Solid,2050,7,0
WY_SW-Bio_Solid,2050,8,0
WY_SW-Bio_Solid,2050,9,0
WY_SW_Bio_Liquid,2050,0,0
WY_SW_Coal,2050,0,0
WY_SW_DistillateFuelOil,2050,0,0
WY_SW_Gas,2050,0,0
WY_SW_ResidualFuelOil,2050,0,0
WY_SW_Uranium,2050,0,0
